Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
0,1440450000,-1.490062001,-0.134586314,0.127854676,0.127785035,0.452267434,-9.599479,-3.6974242,35,87,5,6
0,1440453600,-1.460569512,-0.133328054,0.127856981,0.127785035,0.452267434,15.912815,4.0007553,235,147,7,8
0,1440457200,-1.460569512,-0.131755229,0.127855153,0.128023502,0.452267434,-5.641586,-6.474071,66,65,5,6
0,1442181600,-0.192392448,0.781741378,-7.821354046,-7.821353987,-7.327530692,-1.3085842,0.12417708,100,116,5,6
1,1440342000,-0.428332367,-0.127036755,0.12785078,0.127785035,0.715989405,-4.997876,14.815536,71,231,11,12
1,1440345600,-0.398839877,-0.120116326,0.127850542,0.127705546,0.715989405,13.264654,12.005427,214,209,12,13
3,1528239600,-0.959197184,0.031189414,0.127864056,0.128023502,1.243433346,8.951443,7.002304,180,170,4,5
4,1441879200,-0.280869918,-0.136159138,0.127853881,0.127705546,0.715989405,3.1087363,0.6036723,134,120,5,6
5,1443589200,-0.516809837,1.264598573,0.12789617,0.128102991,-0.734481432,-2.2218134,7.3615894,93,173,10,11
5,1443614400,-0.605287306,0.784572463,-7.821354046,-7.821353987,-0.866342417,-0.92977333,7.4704957,103,174,10,11
